date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:42:40	40348/40348	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2001:42:52%20GMT	https://dienhoa24gio.com/dat-hoa.aspx	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/dat-hoa.html	(from )
08:42:40	55/55	---M-Z	200	added ('OK')	text/plain	etag:%22a1fb58cdcd4cd1:0%22	https://dienhoa24gio.com/robots.txt		(from )
08:42:41	28761/28761	---M-Z	200	added ('OK')	text/css	etag:%2290de5b573dad11:0%22	https://dienhoa24gio.com/Core.css	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/Core.css	(from https://dienhoa24gio.com/dat-hoa.aspx)
08:42:41	2863/2863	---M-Z	200	added ('OK')	text/css	etag:%22eb4e48730dfd11:0%22	https://dienhoa24gio.com/css/ValidationEngine.css	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/css/ValidationEngine.css	(from https://dienhoa24gio.com/dat-hoa.aspx)
08:42:41	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225075d87a75dad11:0%22	https://dienhoa24gio.com/images/Favicon.ico	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/images/Favicon.ico	(from https://dienhoa24gio.com/dat-hoa.aspx)
08:42:41	186/186	---M--	200	added ('OK')	image/gif	etag:%2220f05d7375dad11:0%22	https://dienhoa24gio.com/images/bg_backgroud.gif	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/images/bg_backgroud.gif	(from https://dienhoa24gio.com/dat-hoa.aspx)
08:42:42	72329/72329	---MCZ	200	added ('OK')	application/javascript	etag:%2211975e29e930d81:0%22	https://dienhoa24gio.com/js/jquery-1.4.2.min.js	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/js/jquery-1.4.2.min.js	(from https://dienhoa24gio.com/dat-hoa.aspx)
08:42:42	8452/8452	---M-Z	200	added ('OK')	application/javascript	etag:%22cb4d1a7c0dfd11:0%22	https://dienhoa24gio.com/js/jquery.validationEngine-en.js	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/js/jquery.validationEngine-en.js	(from https://dienhoa24gio.com/dat-hoa.aspx)
08:42:42	50641/50641	---M-Z	200	added ('OK')	application/javascript	etag:%223bad8b7c0dfd11:0%22	https://dienhoa24gio.com/js/jquery.validationEngine.js	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/dienhoa24gio.com/js/jquery.validationEngine.js	(from https://dienhoa24gio.com/dat-hoa.aspx)
08:42:44	4028/4028	---M-Z	200	added ('OK')	application/x-javascript	etag:%22663721a3c063e3aaae1b55d6396f9821%22	http://connect.facebook.net/en_US/fbds.js	D:/BaiTapLonWeb/DienHoa24h/order%20flowers%20fast/connect.facebook.net/en_US/fbds.js	(from https://dienhoa24gio.com/dat-hoa.aspx)
